대단원,중단원,년도,문제 내용,모범 답안,해설
가설공사,가설공사 일반,2023년 4회,시공이 빠르고 이음이 없는 수밀한 콘크리트 구조물 완성용 벽체전용 System 거푸집 종류를 3가지 쓰시오.,① 갱폼(Gang Form) ② 클라이밍 폼(Climbing Form) ③ 슬라이딩 폼(Sliding Form),대형 벽체 거푸집 공법의 종류입니다[cite: 7].
기초공사,지반조사 및 흙막이공법,2023년 4회,영구배수공법의 일종으로 쇄석 대신 사용되고 물을 배수관으로 흘려보내기 위해 롤 형태의 보드를 옹벽 뒤에 부착하는 배수자재의 명칭은?,드레인보드 (Drain Board),옹벽 배수를 위한 드레인보드의 정의입니다[cite: 7].
철골공사,철골공사 일반,2023년 4회,철골부재 용접 시 교차 부위 취약성 방지를 위해 모재에 부채꼴 모양으로 모따기하는 용어는?,스캘럽 (Scallop),철골 용접 시 결함 방지를 위한 모따기 가공 명칭입니다[cite: 7].
콘크리트공사,콘크리트 성질,2023년 4회,콘크리트에서 하중 증가 없이도 시간 경과 후 변형이 증가되는 굳은 콘크리트의 소성변형 현상을 무엇이라 하는가?,크리프 (Creep) 현상,콘크리트의 장기 변형 특성인 크리프의 정의입니다[cite: 7].
기초공사,지반조사 및 흙막이공법,2023년 4회,토질 종류별 지반의 허용응력도 및 단기허용지내력도와 장기허용지내력도의 관계식을 쓰시오.,단기허용지내력도 = 장기허용지내력도 × 1.5,지반의 지내력 산정 기준 공식입니다[cite: 7].
구조역학,구조역학 일반,2023년 4회,제시된 T형 단면의 도심축에 대한 단면2차모멘트를 계산하시오.,820 cm⁴,단면의 형태별 단면2차모멘트 산정 공식 적용 문제입니다[cite: 7].
가설공사,가설공사 일반,2023년 2회,가설출입구 설치 시 고려사항을 3가지 작성하시오.,① 접근 용이 및 야적 유리 위치 선정 ② 주변 교통 및 도로 영향 고려 ③ 진입 유효폭과 도로폭에 의한 충분한 진입각도 고려,현장 가설출입구 배치 시 검토해야 할 요건입니다[cite: 8].
가설공사,가설공사 일반,2023년 2회,건물 높이 13.5m 및 제시된 평면 조건일 때 쌍줄비계의 비계면적을 산출하시오.,934.2 m²,건축 공사 비계 면적 산정 공식 적용 문제입니다[cite: 8].
기초공사,지반조사 및 흙막이공법,2023년 2회,지반조사 시 실시하는 보링(Boring)의 종류를 3가지 쓰시오.,① 오거 보링 ② 수세식 보링 ③ 회전식 보링,지반 조사 시 시료 채취 및 지층 확인을 위한 보링 공법 종류입니다[cite: 8].
기초공사,연약지반공사,2023년 2회,연약지반 개량공법을 3가지만 쓰시오.,① 샌드 드레인 공법 ② 팩 드레인 공법 ③ 페이퍼 드레인 공법,연약지반 압밀 배수 촉진을 위한 대표적인 드레인 공법들입니다[cite: 8].
기초공사,기초공사 일반,2023년 2회,지하구조물 부력 방지 대책을 2가지 기술하시오.,① 유입 지하수 강제 펌핑 외부 배수 ② 인접건물주 승인 후 인접건물에 긴결,지하수위가 높은 대지에서 지하조물 부상 방지 대책입니다[cite: 8].
기초공사,기초공사 일반,2023년 2회,기초의 부동침하를 방지하기 위해 기초구조 부분에 처리할 수 있는 사항을 2가지 기술하시오.,① 마찰말뚝 사용 및 서로 다른 종류 말뚝 혼용 금지 ② 지하실 설치 (온통기초 유효),부동침하 방지를 위한 기초 구조적 설계 및 시공 대책입니다[cite: 8].
콘크리트공사,콘크리트 시공,2023년 2회,평균기온 10°C 이상인 경우 압축강도 시험 없이 거푸집을 떼어낼 수 있는 시멘트 종류별 재령(일) 표의 빈칸을 채우시오.,(정답은 시멘트 종류 및 기온별 존치기간 표 참조),콘크리트 종류 및 온도에 따른 거푸집널 존치기간 기준입니다[cite: 8].
콘크리트공사,콘크리트 시공,2023년 2회,콘크리트 헤드(Concrete Head)를 설명하시오.,타설된 콘크리트 윗면으로부터 최대 측압면까지의 거리,콘크리트 측압 산정 기준 정의입니다[cite: 8].
철골공사,철골공사 일반,2023년 2회,강구조 주각부의 현장 시공순서에 맞게 번호를 쓰시오.,① 기초 상부 고름질 → ④ 앵커볼트 설치 → ② 가조립 → ⑤ 철골 세우기 → ③ 변형 바로잡기 → ⑥ 철골 도장,철골 주각부 설치 및 세우기 현장 작업 순서입니다[cite: 8].
철골공사,철골공사 일반,2023년 2회,강구조물 주위에 철근 배근 후 콘크리트를 타설하여 일체가 되도록 한 복합구조 명칭은?,매입형 합성기둥 (Composite Column),초고층 하층부에 채택되는 합성구조의 정의입니다[cite: 8].
철골공사,철골공사 일반,2023년 2회,강구조 초고층 건축 시 기둥에 발생되는 축소변위를 무엇이라 하는가?,칼럼 쇼트닝 (Column Shortening),초고층 철골 기둥의 축소 현상 정의입니다[cite: 8].
철골공사,철골공사 일반,2023년 2회,강합성 데크플레이트 구조에 사용되는 시어커넥터(Shear Connector)의 역할을 설명하시오.,부재의 두 가지 다른 재료 사이의 전단력을 전달하도록 강재에 용접되고 콘크리트에 매입된 스터드 등의 부재,합성 슬래브에서 전단 응력 전달을 위한 스터드의 역할입니다[cite: 8].
목공사,목공사 일반,2023년 2회,목공사에서 방충 및 방부처리된 목재를 사용해야 하는 경우를 2가지 쓰시오.,① 외부 버팀기둥 구성 목재 부위 ② 급·배수시설 인접 부식 우려 목재,부식 방지를 위한 방부목 사용 대상 부위입니다[cite: 8].
건축적산,입찰 및 계약,2023년 2회,시방서와 설계도서의 우선순위를 중요도에 따라 나열하시오.,공사시방서 → 설계도면 → 표준시방서 등 (설계도서 작성기준 우선순위),설계도서 간 내용 상충 시 적용되는 우선순위입니다[cite: 8].
구조역학,구조역학 일반,2023년 2회,제시된 L형 단면의 X축에 대한 단면2차모멘트를 계산하시오.,783 cm⁴,L형 단면의 도심축에 대한 단면2차모멘트 산정 문제입니다[cite: 8].
구조역학,구조역학 일반,2023년 2회,기둥의 재질과 단면 크기가 같은 4개의 장주 지점조건에 따른 유효좌굴길이를 구하시오.,(1) 1.4L (2) 2L (3) 2L (4) 0.5L (조건별 상이),지점 조건에 따른 기둥의 유효길이 계수 산정 문제입니다[cite: 8].
철근콘크리트공사,철근콘크리트 구조설계,2023년 2회,다세대주택 필로티 구조에서 전이보(Transfer Girder)의 1층과 2층 구조가 상이한 이유를 설명하시오.,상부 기둥·벽체가 하부로 연속성 유지 못해 춤이 큰 보에 지지시켜 하중을 다른 하부 기둥·벽체에 전이시키기 때문,필로티 구조 전이보 설치 목적 및 구조적 이유입니다[cite: 8].
콘크리트공사,콘크리트 시공,2023년 1회,레디믹스트콘크리트(Ready Mixed Concrete)가 현장에 도착했을 때 검사사항을 4가지 쓰시오.,① 염화물 함유량 ② 공기량 ③ Slump(슬럼프) 시험 ④ 공시체 압축강도 시험,레미콘 반입 시 현장에서 실시하는 품질 검사 항목입니다[cite: 9].
공정관리,공정관리 일반,2023년 1회,Fast Track Method에 대해 간단히 설명하시오.,설계와 시공을 병행하는 방식으로써 공기단축을 위하여 설계가 완성된 부분부터 공사를 단계적으로 집행하는 방식,패스트 트랙 공법의 정의 및 목적입니다[cite: 9].
철골공사,철골공사 일반,2023년 1회,강구조공사를 시공할 때 베이스 플레이트(Base Plate)의 시공 시 사용되는 충전재의 명칭을 쓰시오.,무수축 모르타르 (Non-Shrink Mortar),철골 기둥 하부 베이스 플레이트 밀실 시공을 위한 충전재입니다[cite: 9].
철근콘크리트공사,철근콘크리트 구조설계,2023년 1회,강도설계 또는 한계상태설계를 수행할 때 각 설계법에 적용하는 하중조합의 지진하중계수는 얼마로 하는가?,1.0,구조 설계 시 지진하중 조합 계수 기준입니다[cite: 9].
콘크리트공사,특수 콘크리트,2023년 1회,고강도 콘크리트의 폭렬현상에 대하여 설명하시오.,콘크리트 부재가 화재로 가열되어 표면부가 소리를 내며 급격히 파열되는 현상,고강도 콘크리트 화재 시 수증기 압력으로 인한 폭렬 현상 설명입니다[cite: 9].
철근콘크리트공사,철근콘크리트 구조설계,2023년 1회,철근콘크리트 T형보에서 압축을 받는 플랜지 부분의 유효폭을 결정하는 3가지 기준을 쓰시오.,① 16t + b ② 양쪽 슬래브 중심간 거리 ③ 보 경간(Span)의 1/4,T형보 플랜지 유효폭 산정 기준 조건입니다[cite: 9].
기초공사,기초공사 일반,2023년 1회,지하구조물 부력 방지 대책을 4가지 기술하시오.,① 유입 지하수 강제 펌핑 외부 배수 ② 인접건물주 승인 후 인접건물에 긴결 ③ 구조물 자중 증대 ④ 현장시공 중 구조체에 구멍을 뚫어 지하수 유입,지하수위가 높은 대지의 부상 방지 대책입니다[cite: 9].
마감공사,석공사,2023년 1회,깨진 석재를 붙일 수 있는 접착제를 1가지 쓰시오.,에폭시 (Epoxy) 접착제,석재 보수 및 부착에 사용되는 에폭시 수지입니다[cite: 9].
기초공사,연약지반공사,2023년 1회,압밀(Consolidation)과 다짐(Compaction)의 차이점을 비교하여 설명하시오.,(1) 압밀: 점토지반 외력으로 간극수 제거 (2) 다짐: 사질지반 외력으로 공기 제거 압축,토질의 성격에 따른 압밀과 다짐의 정의 비교입니다[cite: 9].
콘크리트공사,특수 콘크리트,2023년 1회,ALC(Autoclaved Lightweight Concrete) 제조 주재료 2가지와 기포 제조방법을 쓰시오.,(1) 주재료: ① 규사(규산질) ② 생석회(석회질) (2) 기포 제조방법: 발포제를 넣고 고온·고압 양생,ALC 경량기포콘크리트의 재료 및 제조 공정입니다[cite: 9].
기초공사,지반조사 및 흙막이공법,2023년 1회,흙막이공사의 지하연속벽(Slurry Wall) 공법에 사용되는 안정액의 기능을 2가지 쓰시오.,① 굴착벽면 붕괴 방지 ② 굴착토사 분리·배출,지하연속벽 벤토나이트 안정액의 주요 역할입니다[cite: 9].
공정관리,공정관리 일반,2023년 1회,고층건축물 공사의 반복작업에서 각 작업조 생산성을 기울기로 하는 도식화 기법의 명칭은?,LOB (Line Of Balance) 공정표,라인 오브 발란스 공정표의 정의입니다[cite: 9].
콘크리트공사,콘크리트 시공,2023년 1회,레미콘 규격 표기(25-30-180)에서 각각의 숫자가 뜻하는 바를 쓰시오.,(1) 25: 굵은골재 최대치수 25mm (2) 30: 호칭강도 30MPa (3) 180: 슬럼프 또는 슬럼프 플로 180mm,레디믹스트콘크리트 호칭 규격 해독 문제입니다[cite: 9].
콘크리트공사,콘크리트 재료,2022년 4회,KS L 5201에서 규정하는 포틀랜드시멘트의 종류 5가지를 쓰시오.,① 보통포틀랜드시멘트 ② 중용열 포틀랜드시멘트 ③ 조강포틀랜드시멘트 ④ 저열포틀랜드시멘트 ⑤ 내황산염포틀랜드시멘트,포틀랜드 시멘트의 5가지 분류 기준입니다[cite: 10].
콘크리트공사,콘크리트 시공,2022년 4회,응결하기 시작한 콘크리트에 새로운 콘크리트를 이어칠 때 일체화가 저해되어 생기게 되는 줄눈의 명칭을 쓰시오.,콜드 죠인트 (Cold Joint),이어치기 시간 지연으로 발생하는 결함 줄눈의 명칭입니다[cite: 10].
철골공사,철골공사 일반,2022년 4회,라멜라 테어링(Lamellar Tearing)에 대해 간단히 설명하시오.,용접 시 판두께 방향 인장 구속력으로 인해 강재 표면 평행방향으로 진전되는 박리 상의 균열,후판 용접 시 발생하는 층상 박리 현상입니다[cite: 10].
마감공사,방수공사,2022년 4회,평지붕 외단열 시트(Sheet) 방수공법의 시공순서를 번호 순서대로 쓰시오.,⑤ 바탕콘크리트 타설 -> ③ 단열재 -> ④ 시트방수 -> ② PE필름 -> ① 누름콘크리트,외단열 시트 방수층의 표준 시공 순서입니다[cite: 10].
마감공사,창호 및 유리공사,2022년 4회,로이(Low-E) 3중유리의 정의 및 특징을 간단히 설명하시오.,열적외선을 반사하는 은소재 도막으로 코팅하여 방사율과 열관류율을 낮추고 가시광선투과율을 높인 유리,에너지 절약을 위한 고단열 로이유리의 특성입니다[cite: 10].
공정관리,VE,2022년 4회,가치공학(Value Engineering)의 기본추진 절차를 순서대로 나열하시오.,대상선정 -> 정보수집 -> 기능정의 -> 기능정리 -> 기능평가 -> 아이디어 발상 -> 평가 -> 제안 -> 실시,VE의 체계적인 업무 전개 단계입니다[cite: 10].
구조역학,구조역학 일반,2022년 4회,제시된 트러스 구조에서 절단법을 이용하여 $L_{2}$ 부재의 부재력을 구하시오.,$F_{L_2} = +60 \text{ kN}$ (인장력),절단법을 이용한 트러스 특정 부재의 응력 산출 문제입니다[cite: 10].
구조역학,구조역학 일반,2022년 4회,제시된 단순보의 조건에 따른 최대 전단응력을 구하시오.,$\tau_{max} = 1 \text{ MPa}$,단순보의 전단력과 단면적을 이용한 최대 전단응력 계산입니다[cite: 10].
콘크리트공사,콘크리트 시공,2022년 2회,콘크리트 소성수축균열(Plastic Shrinkage Crack)에 관하여 설명하시오.,콘크리트 타설 후 물의 증발속도가 블리딩(Bleeding) 속도보다 빠를 때 발생하는 균열,초기 콘크리트 표면 건조로 인한 균열 설명입니다[cite: 11].
철골공사,철골공사 일반,2022년 2회,본조임 시 전용조임기를 사용하여 핀테일이 파단될 때까지 조임시공하는 고장력볼트의 명칭을 쓰시오.,TS(Torque Shear) Bolt,토크시어 고장력볼트의 정의입니다[cite: 11].
구조역학,구조역학 일반,2022년 2회,제시된 부정정 라멘구조의 휨모멘트도(BMD)를 그리시오.,부재 양단에 각각 Ph/2 모멘트 발생 (도식 형태),라멘 구조의 외력에 따른 모멘트도 작성 문제입니다[cite: 11].
철골공사,철골공사 일반,2022년 1회,강재의 항복비(Yield Strength Ratio)를 설명하시오.,인장강도에 대한 항복강도의 비로 강재의 항복에서 파단에 이르기까지를 나타내는 지표,강재의 기계적 성질 및 연성 평가 지표입니다[cite: 12].
콘크리트공사,콘크리트 시공,2022년 1회,지름과 길이가 주어진 콘크리트 시험체의 쪼갬인장강도 시험 최대하중으로 인장강도를 구하시오.,0.42 MPa,원주형 공시체의 쪼갬인장강도 계산 문제입니다[cite: 12].
콘크리트공사,콘크리트 시공,2022년 1회,콘크리트에서 크리프(Creep) 현상에 대하여 설명하시오.,하중의 증가 없이도 시간 경과 후 변형이 증가되는 굳은 콘크리트의 소성변형 현상,콘크리트의 장기 변형 특성인 크리프의 정의입니다[cite: 12].
공정관리,공정관리 일반,2022년 1회,WBS(Work Breakdown Structure)의 용어를 간단하게 기술하시오.,프로젝트의 모든 작업내용을 계층적으로 분류한 작업분류체계,작업분류체계의 정의입니다[cite: 12].
구조역학,구조역학 일반,2022년 1회,제시된 단순보에 모멘트하중 M이 작용할 때 공액보법을 이용하여 A지점의 처짐각을 구하시오.,$\frac{1}{3} \cdot \frac{ML}{EI}$,공액보법을 이용한 단순보의 처짐각 산출 문제입니다[cite: 12].
마감공사,방수공사,2021년 4회,콘크리트에 방수제를 직접 넣어서 방수하는 공법을 무엇이라고 하는가?,구체방수 (콘크리트 구체방수),콘크리트 자체에 방수 성능을 부여하는 공법의 명칭입니다[cite: 13].
철골공사,철골공사 일반,2021년 4회,용접 Bead의 시작과 끝 지점에 결함 방지를 위해 모재 양단에 부착하는 보조강판의 명칭을 쓰시오.,엔드탭 (End Tab),용접 결함 방지를 위한 보조 강판의 명칭입니다[cite: 13].
기초공사,토공사 및 지반조사,2021년 4회,흙막이 붕괴원인의 하나인 히빙(Heaving) 현상에 대하여 간단히 설명하시오.,Sheet Pile 등 흙막이 벽 양쪽의 토압 차이에 의해 벽 밑으로 흙이 미끄러져 들어오는 현상,연약 점토반에서 발생하는 히빙의 정의입니다[cite: 13].
콘크리트공사,콘크리트 시공,2021년 4회,제시된 도로 조건과 레미콘 규격에 따른 레미콘 배차간격을 구하시오.,32분 (또는 32 min),레미콘 소요량 산출 및 운반 간격 계산 문제입니다[cite: 13].
총론,견적 및 입찰,2021년 4회,BOT(Build-Operate-Transfer) 방식을 설명하시오.,민간이 자금 조달 및 시공 후 일정 기간 운영하여 투자금을 회수하고 시설물과 운영권을 공공에 이전하는 방식,민간투자사업(SOC) 방식 중 하나의 정의입니다[cite: 13].
총론,견적 및 입찰,2021년 4회,입찰방식의 종류 중에서 지역제한경쟁입찰에 대해서 간단히 설명하시오.,지역경제를 활성화하기 위해 발주자가 정한 지역 내의 업체만 입찰에 참여시키는 제한경쟁입찰의 일종,지역제한경쟁입찰의 개념입니다[cite: 13].
철근콘크리트공사,철근콘크리트 구조설계,2021년 4회,인장지배단면의 정의에 대해 기술하시오.,압축연단 콘크리트가 극한변형률에 도달할 때 최외단 인장철근의 순인장변형률이 0.005 이상인 단면,강도설계법 단면 분류 기준입니다[cite: 13].
총론,시공계획 및 공정관리,2021년 4회,건축물의 기초 부분 등에 적층고무 또는 미끄럼받이 등을 넣어서 지진에 대한 흔들림을 감소시키는 구조의 명칭을 쓰시오.,면진구조,지진 피해 저감을 위한 면진 시스템의 정의입니다[cite: 13].
구조역학,구조역학 일반,2021년 4회,제시된 원형 단면에서 폭과 높이 조건($h=2b$)을 만족하는 직사각형 단면의 단면계수를 직경 D의 함수로 표현하시오.,$Z \approx 0.06D^{3}$ (또는 $0.059D^{3}$),원형 단면 내 최대 직사각형 단면계수 유도 문제입니다[cite: 13].
철근콘크리트공사,철근콘크리트 구조설계,2021년 4회,인장철근만 배근된 단순보의 순간처짐과 장기처짐계수를 이용하여 총처짐량(순간+장기)을 구하시오.,15 mm,콘크리트 부재의 장기 처짐 및 총처짐 산출 문제입니다[cite: 13].
총론,시공계획 및 공정관리,2021년 2회,시멘트 500포의 공사현장에서 필요한 시멘트 창고의 면적을 구하시오. (쌓기 단수 12단),16.67 m²,시멘트 저장 창고 소요 면적 산출 공식입니다[cite: 14].
기초공사,지반조사 및 흙막이공법,2021년 2회,샌드드레인(Sand Drain) 공법을 설명하시오.,지반에 지름 40~60cm의 구멍을 뚫고 모래를 넣은 후 성토 및 하중을 가하여 점토질 지반을 압밀시키는 공법,연약지반 개량공법 중 샌드드레인 공법의 정의입니다[cite: 14].
철근콘크리트공사,철근콘크리트 구조설계,2021년 2회,압축철근량이 주어진 철근콘크리트 보의 장기처짐계수 및 총처짐량(mm)을 구하시오.,52 mm,지속하중에 따른 장기처짐 및 총처짐 산출 문제입니다[cite: 14].
철근콘크리트공사,철근콘크리트 구조설계,2021년 2회,제시된 철근콘크리트 기둥 단면과 주철근 규격을 바탕으로 띠철근의 최대 수직간격을 구하시오.,300 mm (기둥 최소폭 지배),기둥 띠철근 최대 간격 산출 규정입니다[cite: 14].
철골공사,철골공사 일반,2021년 2회,강구조에서 메탈터치(Metal Touch)의 개념을 설명하시오.,기둥 이음부를 가공하여 상하부 기둥 밀착을 좋게 하고 축력의 50%까지 밀착면에 직접 전달시키는 이음방법,철골 기둥 밀착 이음 방식의 정의입니다[cite: 14].
마감공사,목공사,2021년 2회,목구조 1층 마루널 시공순서를 올바르게 나열하시오.,호박돌(⑤) - 동바리(①) - 멍에(②) - 장선(③) - 마루널(④),목구조 바닥(마루) 구축 순서입니다[cite: 14].
마감공사,수장공사,2021년 2회,수장공사 시 바닥에서 1m~1.5m 정도의 높이까지 널을 댄 것의 명칭을 쓰시오.,징두리벽,실내 벽체 하부 마감 구조의 명칭입니다[cite: 14].
공정관리,공정관리 일반,2021년 2회,정상계획과 급속계획 데이터를 바탕으로 비용구배가 큰 작업부터 순서대로 작업명을 쓰시오.,B - A - C,작업별 공기단축 비용구배 비교 및 순서 산출 문제입니다[cite: 14].
구조역학,구조역학 일반,2021년 2회,용수철에 단위하중이 작용할 때 변위와 용수철계수(k)의 관계식을 유도하고 k를 구하시오.,$k = \frac{EA}{L}$,재료역학 기본 변위 및 강성계수 유도 문제입니다[cite: 14].
콘크리트공사,콘크리트 시공,2021년 1회,표준공시체 파괴하중이 500 kN일 때 압축강도 f_c (MPa)를 구하시오.,28.294 MPa (또는 N/mm²),원주형 공시체의 단면적과 하중을 이용한 압축강도 계산 문제입니다[cite: 15].
총론,기타 공사관리,2021년 1회,BOT (Build-Operate-Transfer) 방식을 설명하시오.,민간 수주측이 설계·시공 후 일정 기간 시설물을 운영하여 투자금을 회수하고 운영권을 발주측에 이전하는 방식,민간투자사업(SOC 등) 방식의 정의입니다[cite: 15].
철근콘크리트공사,철근공사,2021년 1회,철근콘크리트공사에 이용되는 스페이서(Spacer)의 용도를 쓰시오.,바닥이나 벽 철근이 거푸집에 밀착되는 것을 방지하고 피복두께 및 철근 간격을 유지하는 간격재 용도,철근 피복두께 유지를 위한 간격재의 역할입니다[cite: 15].
마감공사,창호 및 유리공사,2021년 1회,두꺼운 유리나 색유리에서 발생하는 유리의 열파(열파손) 현상을 설명하시오.,유리의 중앙부와 프레임이 면하는 주변부의 온도 차이로 인한 팽창·수축 차이로 응력이 생겨 파손되는 현상,유리 열파손 현상의 정의입니다[cite: 15].
총론,기타 공사관리,2021년 1회,종합 심사낙찰제도에 관하여 간단히 설명하시오.,사회적 책임점수를 포함한 공사수행 능력점수와 입찰금액 점수를 합산하여 가장 높은 점수를 획득한 입찰자를 낙찰시키는 제도,적격심사 및 종합심사 낙찰제의 개념입니다[cite: 15].
구조역학,구조역학 일반,2021년 1회,제시된 하중이 작용하는 3-Hinge 라멘구조물의 모멘트도를 그리시오.,(도면 형태의 모멘트도 정답 제시),정정 라멘 구조물의 휨모멘트도 작도 문제입니다[cite: 15].
기초공사,지반조사 및 흙막이공법,2020년 5회,탑다운 공법(Top-Down Method)에서 작업공간이 협소한 부지를 넓게 쓸 수 있는 이유를 기술하시오.,1층 슬래브가 먼저 타설되어 작업공간으로 활용이 가능하기 때문이다.,탑다운 공법의 시공상 주요 장점입니다[cite: 16].
콘크리트공사,콘크리트 시공,2020년 5회,수중콘크리트 타설 시 콘크리트 피복두께를 얼마 이상으로 하여야 하는가?,100 mm 이상,수중콘크리트 시공 시 최소 피복두께 기준입니다[cite: 16].
콘크리트공사,콘크리트 시공,2020년 5회,고강도 콘크리트의 폭렬현상에 대하여 설명하시오.,콘크리트 부재가 화재로 가열되어 표면부가 소리를 내며 급격히 파열되는 현상,고강도 콘크리트 화재 시 폭렬 현상의 정의입니다[cite: 16].
철근콘크리트공사,철근공사,2020년 5회,온도조절 철근(Temperature Bar)의 배근 목적에 대하여 간단히 설명하시오.,건조수축 또는 온도변화에 의하여 콘크리트에 발생하는 균열을 방지하기 위한 목적,온도철근의 설치 목적입니다[cite: 16].
구조역학,구조역학 일반,2020년 5회,부재 단면에 비틀림이 생기지 않고 휨변형만 유발하는 위치를 무엇이라 하는가?,전단중심 (Shear Center),보의 단면 특성 중 전단중심의 정의입니다[cite: 16].
마감공사,조적공사,2020년 5회,벽돌에 나타나는 일반적인 백화현상에 대해 설명하시오.,시멘트 중의 수산화칼슘이 공기 중의 탄산가스와 반응하여 벽체의 표면에 생기는 흰 결정체,백화현상의 발생 원인 및 정의입니다[cite: 16].
마감공사,미장공사,2020년 5회,특수화학제 첨가 레디믹스트몰탈에 대리석·세라믹 분말을 혼합해 얇게 바르는 미장 재료의 명칭을 쓰시오.,수지미장,특수 미장 바름 재료의 명칭입니다[cite: 16].
총론,기타 공사관리,2020년 5회,시설물 완공 후 발주처에 소유권을 양도하고 임대료를 통해 투자비를 회수하는 민간투자사업 계약방식의 명칭은?,BTL (Build-Transfer-Lease),민간투자사업(임대형 민자사업) 방식의 명칭입니다[cite: 16].
콘크리트공사,콘크리트 시공,2020년 4회,매스콘크리트 시공에서 콘크리트 재료의 일부 또는 전부를 냉각시켜 온도를 낮추는 방법을 무엇이라 하는가?,선행 냉각 (Pre-Cooling),매스콘크리트 수화열 저감을 위한 온도 제어 기법입니다[cite: 17].
철골공사,철골공사 일반,2020년 4회,강합성 데크플레이트 구조에 사용되는 시어커넥터(Shear Connector)의 역할을 설명하시오.,합성부재의 두 가지 다른 재료 사이의 전단력을 전달하도록 강재에 용접되고 콘크리트에 매입된 스터드 등의 강재,시어커넥터의 정의 및 역할입니다[cite: 17].
철골공사,철골공사 일반,2020년 4회,기둥축소(Column Shortening) 현상에 대해 설명하시오.,강구조 초고층 건축 시 기둥에 발생되는 축소 변위,초고층 건물의 기둥 축소 현상 설명입니다[cite: 17].
방수공사,방수공사 일반,2020년 4회,멤브레인 방수를 하지 않고 구조물 단면 전체를 방수화하여 수밀성·내구성을 향상시키는 공법의 명칭은?,(콘크리트) 구체방수공법,콘크리트 구체 자체의 방수성을 높이는 공법입니다[cite: 17].
마감공사,창호 및 유리공사,2020년 4회,커튼월 공사에서 발생될 수 있는 유리의 열파손 메커니즘에 대해 설명하시오.,유리가 두꺼운 경우 열축적이 커서 가공 시 발생한 국부적 결함 부위에 온도응력이 집중되어 열파손 가능성이 커짐,유리 열파손의 원인 메커니즘입니다[cite: 17].
총론,기타 공사관리,2020년 4회,시설물 완공 후 발주처에 소유권을 양도하고 임대료를 통해 투자비를 회수하는 민간투자사업 계약방식의 명칭은?,BTL (Build-Transfer-Lease),민간투자사업(임대형 민자사업) 방식의 명칭입니다[cite: 17].
품질관리,품질관리 일반,2020년 4회,히스토그램(Histogram)의 작성 순서를 보기에서 골라 번호 순서대로 쓰시오.,데이터 수집 ➔ 최소·최대값으로 범위 산정 ➔ 구간폭 정하기 ➔ 도수분포도 작성 ➔ 히스토그램 작성 ➔ 규격값과 대조하여 안정상태 검토,히스토그램의 체계적인 작성 절차입니다[cite: 17].
가설공사,가설공사 일반,2020년 3회,기준점(Bench Mark)의 정의를 간단히 쓰시오.,건축물 시공 시 공사 중 높이의 기준을 정하고자 설치하는 원점,기준점의 설치 목적 및 정의입니다[cite: 18].
철근콘크리트공사,철근콘크리트 구조설계,2020년 3회,보의 중립축 거리와 유효깊이 조건이 주어졌을 때 강도감소계수(phi)를 산정하시오.,0.76,철근콘크리트 부재의 순인장변형률에 따른 강도감소계수 산정 문제입니다[cite: 18].
철골공사,철골공사 일반,2020년 3회,시어커넥터(Shear Connector)에 사용되며 슬래브와 강재 보의 전단력을 전달하는 볼트의 명칭을 쓰시오.,강재 앵커,합성구조용 연결재의 명칭입니다[cite: 18].
마감공사,석공사,2020년 3회,석재공사 진행 중 석재가 깨진 경우 이것을 접착할 수 있는 대표적인 접착제를 1가지 쓰시오.,에폭시,석재 접착용 합성수지 접착제 종류입니다[cite: 18].
구조역학,구조역학 일반,2020년 3회,경사각이 있는 트러스 구조물에서 T부재에 발생하는 부재력을 구하시오.,+2 kN (인장),트러스 부재력 산정 문제입니다[cite: 18].
구조역학,구조역학 일반,2020년 3회,제시된 단면 치수를 가진 형상의 X축에 대한 단면2차모멘트를 계산하시오.,5.2 × 10⁹ mm⁴,단면의 기하학적 성질 산정 문제입니다[cite: 18].
철근콘크리트공사,철근공사,2020년 3회,1방향 슬래브 두께 250mm일 때 단위폭 1m에 대한 수축온도철근량과 D13 철근 배근 개수를 구하시오.,배근 개수: 4개,슬래브 온도철근량 산정 및 소요 철근 본수 계산 문제입니다[cite: 18].
방수공사,지붕 및 홈통공사,2020년 3회,콘크리트로 마감된 옥상에 시트방수 시 하단부터 상단까지의 시공 순서를 번호로 쓰시오.,고름모르타르 ➔ 시트방수 ➔ 보호모르타르 (또는 제시된 보기 순서에 따름),옥상 시트방수 적층 순서입니다[cite: 18].
콘크리트공사,콘크리트 성질,2020년 2회,고강도 콘크리트의 폭렬현상에 대하여 설명하시오.,콘크리트 부재가 화재로 가열되어 표면부가 소리를 내며 급격히 파열되는 현상,고강도 콘크리트 화재 시 발생하는 폭렬 현상 정의입니다[cite: 19].
콘크리트공사,거푸집공사,2020년 2회,거푸집널 존치기간 중 평균기온이 10℃ 이상인 경우 시멘트 종류별 압축강도 시험을 하지 않고 거푸집을 떼어낼 수 있는 콘크리트 재령(일) 표의 빈칸을 채우시오.,보통포틀랜드시멘트(10℃ 이상): 4일 등 조건별 재령일 기준,거푸집널 존치기간 산정 기준입니다[cite: 19].
구조역학,구조역학 일반,2020년 2회,무근콘크리트 단순보의 파괴 하중 조건이 주어졌을 때 휨강도를 구하시오.,3.2 MPa (N/mm²),무근콘크리트 휨강도 계산 문제입니다[cite: 19].
